,title,price,in_stock,image_url,href
78,Thermalright TA 120 EX CPU Cooler - White,189,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/272867/image_256?ts=1676602870,https://www.pcbyte.com.my/p/thermalright-ta-120-ex-cpu-cooler-white-272867
79,Corsair 16GB 3200Mhz DDR4 Vengeance LPX C16 Desktop Ram - Black CMK16GX4M1E3200C16,289,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/228144/image_256?ts=1691371102,https://www.pcbyte.com.my/p/corsair-16gb-3200mhz-ddr4-vengeance-lpx-c16-desktop-ram-black-cmk16gx4m1e3200c16-228144
80,Thermalright TL-C12015 PWM 120mm Cooling Fan TL-C12015,45,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/249289/image_256?ts=1676603524,https://www.pcbyte.com.my/p/thermalright-tl-c12015-pwm-120mm-cooling-fan-tl-c12015-249289
81,Thermalright TL-C12RW-S 120mm ARGB Reverse Fan Blade Cooling Fan Tri Pack - White,169,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/273090/image_256?ts=1684836051,https://www.pcbyte.com.my/p/thermalright-tl-c12rw-s-120mm-argb-reverse-fan-blade-cooling-fan-tri-pack-white-273090
82,G.Skill Trident Z RGB DDR4 3200MHz 16GB (2x8) Desktop Memory F4-3200C16D-16GTZR,385,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/2579/image_256?ts=1695631272,https://www.pcbyte.com.my/p/g-skill-trident-z-rgb-ddr4-3200mhz-16gb-2x8-desktop-memory-f4-3200c16d-16gtzr-2579
83,Cooler Master XG650 650w 80+ Platinum Full Modular Power Supply MPG-6501-AFBAP-UK,629,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/412452/image_256?ts=1700193429,https://www.pcbyte.com.my/p/cooler-master-xg650-650w-80-platinum-full-modular-power-supply-mpg-6501-afbap-uk-412452
84,Cooler Master IceFusion V2 40g Thermal Paste RG-ICF-CWR3-GP,24.90,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/23793/image_256?ts=1681196029,https://www.pcbyte.com.my/p/cooler-master-icefusion-v2-40g-thermal-paste-rg-icf-cwr3-gp-23793
85,V-Color Prism I RGB 8GB 3200MHz DDR4 Desktop Memory Ram - Black,142,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/265555/image_256?ts=1673484907,https://www.pcbyte.com.my/p/v-color-prism-i-rgb-8gb-3200mhz-ddr4-desktop-memory-ram-black-265555
86,V-Color DDR4 16GB (8GBx2) 3200MHz Skywalker Plus RGB U-DIMM (Silver HIS) 1.35V Memory Ram,299,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/274113/image_256?ts=1691371102,https://www.pcbyte.com.my/p/v-color-ddr4-16gb-8gbx2-3200mhz-skywalker-plus-rgb-u-dimm-silver-his-1-35v-memory-ram-274113
87,Aigo darkFlash DR12 Pro Addressable RGB Fan Add on Pack,24.90,IN STOCK,https://d2kz9lt0wzv9b2.cloudfront.net/web/image/product.template/23289/image_256?ts=1678329092,https://www.pcbyte.com.my/p/aigo-darkflash-dr12-pro-addressable-rgb-fan-add-on-pack-23289
